time,crank_v,pressure_v,state,rel_crank_ang,pressure_bar
0.29036,0.273869,-0.220844,nan,149.45169712793734,-2.2526088
0.29038,0.201175,-0.221502,nan,149.7650130548303,-2.2593204
0.2904,10.044291,-0.221173,nan,150.07832898172322,-2.2559646
0.29042,10.284751,-0.221502,nan,150.39164490861617,-2.2593204
0.29044,0.200846,-0.221831,nan,150.70496083550913,-2.2626762
0.29046,9.510083,-0.221831,nan,151.01827676240208,-2.2626762
0.29048,10.269291,-0.221173,nan,151.33159268929504,-2.2559646
0.2905,0.201504,-0.221173,nan,151.644908616188,-2.2559646
0.29052,8.166677,-0.222489,nan,151.95822454308095,-2.2693877999999996
0.29054,10.245935,-0.221173,nan,152.27154046997387,-2.2559646
0.29056,0.201504,-0.22216,nan,152.58485639686683,-2.2660319999999996
0.29058,0.396231,-0.223475,nan,152.89817232375978,-2.279445
0.2906,10.228501,-0.221502,nan,153.21148825065274,-2.2593204
0.29062,0.202491,-0.22216,nan,153.5248041775457,-2.2660319999999996
0.29064,0.207096,-0.220515,nan,153.83812010443864,-2.249253
0.29066,10.181133,-0.22216,nan,154.1514360313316,-2.2660319999999996
0.29068,0.198544,-0.220844,nan,154.46475195822453,-2.2526088
0.2907,0.200517,-0.22216,nan,154.77806788511748,-2.2660319999999996
0.29072,9.937054,-0.222489,nan,155.09138381201043,-2.2693877999999996
0.29074,10.178501,-0.219528,nan,155.4046997389034,-2.2391856
0.29076,0.200517,-0.22216,nan,155.71801566579634,-2.2660319999999996
0.29078,9.53903,-0.221502,nan,156.0313315926893,-2.2593204
0.2908,10.160409,-0.219857,nan,156.34464751958222,-2.2425414
0.29082,0.201175,-0.219857,nan,156.65796344647518,-2.2425414
0.29084,7.977535,-0.221831,nan,156.97127937336813,-2.2626762
0.29086,10.158764,-0.223475,nan,157.2845953002611,-2.279445
0.29088,0.201175,-0.219199,nan,157.59791122715404,-2.2358298
0.2909,0.657403,-0.223475,nan,157.911227154047,-2.279445
0.29092,10.14758,-0.21887,nan,158.22454308093995,-2.232474
0.29094,0.202162,-0.221831,nan,158.53785900783288,-2.2626762
0.29096,0.200517,-0.219528,nan,158.85117493472583,-2.2391856
0.29098,10.079817,-0.221173,nan,159.1644908616188,-2.2559646
0.291,0.385048,-0.219857,nan,159.47780678851174,-2.2425414
0.29102,0.200188,-0.22216,nan,159.7911227154047,-2.2660319999999996
0.29104,9.961067,-0.222489,nan,160.10443864229765,-2.2693877999999996
0.29106,10.171922,-0.219857,nan,160.4177545691906,-2.2425414
0.29108,0.200517,-0.223475,nan,160.73107049608353,-2.279445
0.2911,9.63574,-0.219199,nan,161.0443864229765,-2.2358298
0.29112,10.16337,-0.21887,nan,161.35770234986944,-2.232474
0.29114,0.200846,-0.217226,nan,161.6710182767624,-2.2157052
0.29116,8.697261,-0.220515,nan,161.98433420365535,-2.249253
0.29118,10.144291,-0.220186,nan,162.2976501305483,-2.2458972
0.2912,0.200517,-0.220186,nan,162.61096605744126,-2.2458972
0.29122,5.946005,-0.22512,nan,162.9242819843342,-2.2962239999999996
0.29124,10.110738,-0.21887,nan,163.23759791122714,-2.232474
0.29126,0.201175,-0.22216,nan,163.5509138381201,-2.2660319999999996
0.29128,0.200517,-0.219528,nan,163.86422976501305,-2.2391856
0.2913,10.065015,-0.221831,nan,164.177545691906,-2.2626762
0.29132,0.201833,-0.217884,nan,164.49086161879896,-2.2224168
0.29134,0.19953,-0.222818,nan,164.80417754569189,-2.2727435999999996
0.29136,9.92916,-0.221173,nan,165.11749347258484,-2.2559646
0.29138,10.030804,-0.221173,nan,165.4308093994778,-2.2559646
0.2914,0.200188,-0.219857,nan,165.74412532637075,-2.2425414
0.29142,9.684095,-0.219857,nan,166.0574412532637,-2.2425414
0.29144,10.020936,-0.219528,nan,166.37075718015666,-2.2391856
0.29146,0.199859,-0.218541,nan,166.6840731070496,-2.2291182
0.29148,9.225545,-0.220515,nan,166.99738903394254,-2.249253
0.2915,9.968962,-0.218213,nan,167.3107049608355,-2.2257725999999995
0.29152,0.199859,-0.21887,nan,167.62402088772845,-2.232474
0.29154,5.95686,-0.220844,nan,167.9373368146214,-2.2526088
